"Baye de Montreux - G","2015-12-04",61.00,17.00,"G30",85
"Baye de Montreux - G","2015-12-04",61.00,3.00,"G31",86
"Baye de Montreux - G","2015-12-04",61.00,1.00,"G32",87
"Baye de Montreux - G","2015-12-04",61.00,4.00,"G33",88
"Baye de Montreux - G","2015-12-04",61.00,1.00,"G34",89
"Baye de Montreux - G","2015-12-04",61.00,2.00,"G50",90
"Baye de Montreux - G","2015-12-04",61.00,2.00,"G70",91
"Baye de Montreux - G","2015-12-04",61.00,47.00,"G79",92
"Baye de Montreux - G","2015-12-04",61.00,69.00,"G82",93
"Baye de Montreux - G","2015-12-04",61.00,3.00,"G89",94
"Baye de Montreux - G","2015-12-04",61.00,8.00,"G95",95
"Baye de Montreux - D","2015-12-10",61.00,9.00,"G10",96
"Baye de Montreux - D","2015-12-10",61.00,2.00,"G100",97
"Baye de Montreux - D","2015-12-10",61.00,1.00,"G101",98
"Baye de Montreux - D","2015-12-10",61.00,8.00,"G125",99
"Baye de Montreux - D","2015-12-10",61.00,1.00,"G131",100
"Baye de Montreux - D","2015-12-10",61.00,1.00,"G145",101
"Baye de Montreux - D","2015-12-10",61.00,5.00,"G152",102
"Baye de Montreux - D","2015-12-10",61.00,13.00,"G156",103
"Baye de Montreux - D","2015-12-10",61.00,13.00,"G177",104
"Baye de Montreux - D","2015-12-10",61.00,17.00,"G178",105
"Baye de Montreux - D","2015-12-10",61.00,2.00,"G191",106
"Baye de Montreux - D","2015-12-10",61.00,1.00,"G198",107
"Baye de Montreux - D","2015-12-10",61.00,49.00,"G200",108
"Baye de Montreux - D","2015-12-10",61.00,1.00,"G205",109
"Baye de Montreux - D","2015-12-10",61.00,1.00,"G21",110
"Baye de Montreux - D","2015-12-10",61.00,1.00,"G211",111
"Baye de Montreux - D","2015-12-10",61.00,2.00,"G23",112
"Baye de Montreux - D","2015-12-10",61.00,2.00,"G24",113
"Baye de Montreux - D","2015-12-10",61.00,10.00,"G25",114
"Baye de Montreux - D","2015-12-10",61.00,263.00,"G27",115
"Baye de Montreux - D","2015-12-10",61.00,2.00,"G28",116
"Baye de Montreux - D","2015-12-10",61.00,37.00,"G30",117
"Baye de Montreux - D","2015-12-10",61.00,1.00,"G32",118
"Baye de Montreux - D","2015-12-10",61.00,5.00,"G33",119
"Baye de Montreux - D","2015-12-10",61.00,14.00,"G34",120
"Baye de Montreux - D","2015-12-10",61.00,5.00,"G35",121
"Baye de Montreux - D","2015-12-10",61.00,1.00,"G4",122
"Baye de Montreux - D","2015-12-10",61.00,2.00,"G50",123
"Baye de Montreux - D","2015-12-10",61.00,5.00,"G66",124
"Baye de Montreux - D","2015-12-10",61.00,38.00,"G67",125
"Baye de Montreux - D","2015-12-10",61.00,3.00,"G70",126
"Baye de Montreux - D","2015-12-10",61.00,44.00,"G79",127
"Baye de Montreux - D","2015-12-10",61.00,1.00,"G8",128
"Baye de Montreux - D","2015-12-10",61.00,13.00,"G82",129
"Baye de Montreux - D","2015-12-10",61.00,1.00,"G89",130
"Baye de Montreux - D","2015-12-10",61.00,2.00,"G91",131
"Baye de Montreux - D","2015-12-10",61.00,13.00,"G95",132
"Baye de Montreux - G","2015-12-10",61.00,5.00,"G10",133
"Baye de Montreux - G","2015-12-10",61.00,1.00,"G125",134
"Baye de Montreux - G","2015-12-10",61.00,2.00,"G152",135
"Baye de Montreux - G","2015-12-10",61.00,1.00,"G153",136
"Baye de Montreux - G","2015-12-10",61.00,21.00,"G156",137
"Baye de Montreux - G","2015-12-10",61.00,1.00,"G159",138
"Baye de Montreux - G","2015-12-10",61.00,2.00,"G161",139
"Baye de Montreux - G","2015-12-10",61.00,4.00,"G177",140
"Baye de Montreux - G","2015-12-10",61.00,2.00,"G178",141
"Baye de Montreux - G","2015-12-10",61.00,6.00,"G191",142
