,city,latitude,location,longitude,post,water,pop,Area
64,Huningue,47.591151,Rhein_Basel_BlarerP_2,7.5879485,68330,river,173870.0,2.86
65,Basel,47.5582176,Rhein_Basel_HungerbuehlerN,7.6103488,4058,river,173870.0,23.91
66,Basel,47.5586439,Rhein_Beach near Tinguely Museum_Bolger. O_Sigrist F.,7.6121536,4058,river,173870.0,23.91
67,Domat/Ems,46.8380375,rhein_domatems_foppa_f,9.4476387,7013,river,8078.0,24.22
68,Eglisau,47.5733159,rhein_eglisau_gomringerp,8.5345847,8193,river,5184.0,9.06
69,Hemishofen,47.6755236,Rhein_Hemishofen_StollL,8.8280292,8261,river,472.0,7.89
70,Büsingen am Hochrhein,47.6915254,rhein_laag_jungbluthn,8.7172104,78266,river,1358.0,7.62
71,Düdingen,46.8591514,schiffenensee_duedingen_hirschij,7.1764374,3186,river,7866.0,30.76
72,Sempach,47.1286181,sempachersee_sempach_tampec,8.1918737,6204,lake,4120.0,8.91
73,Köniz,46.8831206,Sense_Törishaus_g-cubes,7.3531889,3174,river,41154.0,51.01
74,Einsiedeln,47.1413938,sihlsee_einsiedeln_schilligerllacherl,8.7603588,8840,lake,15448.0,99.04
75,Adliswil,47.3124217,Sihl_Adliswil_Oggi_Fort,8.5262549,8134,river,18896.0,7.77
76,Horgen,47.2726946,Sihl_Horgen_BucherF,8.5536821,8810,river,20369.0,30.83
77,Zürich,47.3254361,sihl_leimbach_kruegerm,8.5191195,8041,river,410126.0,87.88
78,Menzingen,47.1915012,Sihl_Menzingen_Kucharska_Magdalena,8.6184214,6313,river,4487.0,27.51
79,Zürich,47.3818981,sihl_zuerich_eggerskoehlingera,8.5383279,8005,river,410126.0,87.88
80,Zürich,47.3395883,Sihl_zuerich_eichenbergerD,8.5166965,8041,river,410126.0,87.88
81,Zürich,47.3731495,Sihl_Zuerich_ScherfS,8.5323698,8001,river,410126.0,87.88
82,Zürich,47.3430554,sihl_zürich_himmelhebern,8.5186122,8041,river,410126.0,87.88
83,Sankt Gallen,47.4251609,sitter_gaiserwald_buehlerf,9.3401037,9000,river,76056.0,39.39
84,Sankt Gallen,47.4102424,Sitter_St.Gallen_JennyA,9.320376,9014,river,76056.0,39.39
85,Sankt Gallen,47.4332917,sitter_stgallen_steinbrunnerf ,9.3580747,9000,river,76056.0,39.39
86,Delémont,47.3709868,sorne_birse_WWFJura,7.3609099,2800,river,12657.0,21.99
87,Spiez,46.7044368,thunersee_spiez_meierd_1,7.6578824,3646,lake,12756.0,16.69
88,Kradolf-Schönenberg,47.5240726,Thur_Schoenenberg_SchaerA,9.1983347,9214,river,3554.0,9.12
89,Wil,47.4467866,thur_schwarzenbach_meiliw,9.0638156,9500,river,17678.0,20.82
90,Bauma,47.3701757,Töss_Bauma_KurthE,8.8678249,8494,river,4916.0,29.53
91,Zell,47.4545698,töss_kollbrunn_bürgid,8.77968,8483,river,5167.0,12.97
92,Winterthur,47.4787073,Töss_Winterthur 2,8.7084264,8406,river,110443.0,68.07
93,Ermatingen,47.6726333,unterdsee_ermatingen_brunkem,9.0812462,8272,lake,3311.0,10.46
94,Selyshche,48.4957541,untersee_steckborn_siedlerm,27.0742158,60216,lake,0.0,0.0
95,Hundwil,47.3250986,urnaesch_urnaesch_meierr,9.2954188,9107,river,961.0,24.08
96,Weggis,47.0445321,vierwaldstättersee_weggis_schöberls_1,8.4185689,6353,lake,4421.0,11.79
97,Weggis,47.043953,vierwaldstättersee_weggis_schöberls_2,8.4173076,6353,lake,4421.0,11.79
98,Weggis,47.0299566,vierwaldstättersee_weggis_schöberls_3,8.410801,6353,lake,4421.0,11.79
99,Disentis/Mustér,46.6982739,vorderrhein_disentis_schmidn,8.8578373,7180,river,2149.0,90.99
100,Walenstadt,47.1218282,Walensee_Walenstadt_WyssE,9.2995517,8880,lake,5614.0,45.68
101,Männedorf,47.254754,zuerichsee_maennedorf_vanderkaadene,8.6875038,8708,lake,10871.0,4.77
102,Richterswil,47.2176458,zuerichsee_richterswil_benkoem_2,8.6987133,8805,lake,13392.0,7.54
103,Stäfa,47.2346431,zuerichsee_staefa_hennm,8.7698814,8713,lake,14329.0,8.58
104,Richterswil,47.2195468,zuerichsee_waedenswil_colomboc_1,8.6919611,8805,lake,13392.0,7.54
105,Zürich,47.3539573,zuerichsee_zurich_kullg,8.5504743,8008,lake,410126.0,87.88
106,Zug,47.1782157,ZugerseeCholler_Cham_BlarerM,8.4800128,6300,lake,30416.0,21.63
107,Meierskappel,47.1066869,zugersee_Immensee_Guedesd,8.4788812,6344,lake,1378.0,6.8
108,Steffisburg,46.7742431,zulg_steffisburg_schmassmanne,7.6245372,3612,river,15811.0,13.36
109,Zürich,47.3593922,Zürichsee-Feldeggstr-BänningerSand,8.5473682,8008,lake,410126.0,87.88
110,Küsnacht,47.3176849,Zürichsee_Küsnachterhorn_Thirkell-WhiteJ,8.5768602,8700,lake,13283.0,12.35
111,Zürich,47.3458899,zürichsee_wollishofen_langendorfm,8.5361545,8038,lake,410126.0,87.88
