location,date,sample,density,quantity
Bielersee_Vinelz_FankhauserS,2017-05-27,2.0,3.143,110.0
Bielersee_Vinelz_FankhauserS,2017-06-30,3.0,3.743,131.0
Bielersee_Vinelz_FankhauserS,2017-07-29,4.0,1.343,47.0
Bielersee_Vinelz_FankhauserS,2017-08-26,5.0,2.629,92.0
Bielersee_Vinelz_FankhauserS,2017-09-29,6.0,1.629,57.0
Bielersee_Vinelz_FankhauserS,2017-10-29,7.0,1.029,36.0
Bielersee_Vinelz_FankhauserS,2017-11-30,8.0,5.457,191.0
Bielersee_Vinelz_FankhauserS,2017-12-30,9.0,3.343,117.0
Bielersee_Vinelz_FankhauserS,2018-01-31,10.0,4.171,146.0
Birs_Basel_GrunerN,2017-04-15,1.0,3.559,121.0
Birs_Basel_GrunerN,2017-05-21,2.0,2.206,75.0
Birs_Basel_GrunerN,2017-10-29,3.0,5.706,194.0
Birs_basel_läderachs,2017-04-29,1.0,1.429,40.0
Birs_basel_läderachs,2017-05-28,2.0,3.679,103.0
Birs_basel_läderachs,2017-07-01,3.0,2.393,67.0
Birs_basel_läderachs,2017-07-31,4.0,3.321,93.0
Birs_basel_läderachs,2017-09-30,5.0,2.25,63.0
Birs_basel_läderachs,2017-12-30,6.0,0.714,20.0
Birs_Reinach_DiNucciN,2017-04-18,1.0,4.944,178.0
Birs_Reinach_DiNucciN,2017-05-29,2.0,3.833,138.0
Birs_Reinach_DiNucciN,2017-08-25,3.0,1.833,66.0
Birs_Reinach_DiNucciN,2017-09-30,4.0,,
Birs_Reinach_DiNucciN,2017-10-30,5.0,,
Birs_Reinach_DiNucciN,2017-11-30,6.0,,
Birs_Reinach_DiNucciN,2017-12-27,7.0,2.111,76.0
Birs_Reinach_DiNucciN,2018-01-31,8.0,1.972,71.0
Birsköpfli Rusco,2017-04-22,1.0,7.44,372.0
Birsköpfli Rusco,2017-05-21,2.0,6.0,300.0
Birsköpfli Rusco,2017-06-26,3.0,16.06,803.0
Birsköpfli Rusco,2017-07-25,4.0,6.62,331.0
Birsköpfli Rusco,2017-08-29,5.0,10.16,508.0
Birsköpfli Rusco,2017-10-03,6.0,1.14,57.0
Birsköpfli Rusco,2017-11-05,7.0,0.66,33.0
Birsköpfli Rusco,2017-12-03,8.0,1.12,56.0
Birsköpfli Rusco,2018-01-06,9.0,0.0,0.0
Birsköpfli Rusco,2018-02-11,10.0,3.56,178.0
bodensee_altenrhein_caluoria,2017-04-05,1.0,14.05,281.0
Bodensee_Arbon_MösliS,2017-04-05,1.0,1.567,47.0
Bodensee_Arbon_MösliS,2017-05-09,2.0,0.7,21.0
Bodensee_Arbon_MösliS,2017-06-23,3.0,1.067,32.0
Bodensee_Arbon_MösliS,2017-08-29,4.0,0.667,20.0
Bodensee_Arbon_MösliS,2017-09-27,5.0,0.933,28.0
Bodensee_Arbon_MösliS,2017-10-04,6.0,0.5,15.0
Bodensee_Arbon_MösliS,2017-11-15,7.0,1.133,34.0
Bodensee_Arbon_MösliS,2017-12-27,8.0,0.567,17.0
Bodensee_Arbon_MösliS,2018-01-31,9.0,0.733,22.0
Bodensee_Arbon_MösliS,2018-02-28,10.0,0.367,11.0
bodensee_horn_huberm,2017-04-30,1.0,13.4,201.0
Bodensee_Steinach_Dolder_A,2017-04-22,1.0,1.359,125.0
Bodensee_Steinach_Dolder_A,2017-05-29,2.0,1.728,159.0
Bodensee_Steinach_Dolder_A,2017-06-29,3.0,2.076,191.0
Bodensee_Steinach_Dolder_A,2017-07-31,4.0,1.598,147.0
Bodensee_Steinach_Dolder_A,2017-08-30,5.0,2.815,259.0
Bodensee_Steinach_Dolder_A,2017-09-30,6.0,1.511,139.0
Bodensee_Steinach_Dolder_A,2017-10-27,7.0,1.25,115.0
Bodensee_Steinach_Dolder_A,2017-11-26,8.0,1.88,173.0
Bodensee_Steinach_Dolder_A,2017-12-29,9.0,1.717,158.0
Bodensee_Steinach_Dolder_A,2018-01-26,10.0,1.37,126.0
Bodensee_Steinach_Dolder_A,2018-02-28,11.0,2.043,188.0
bodensee_thal_schlachterj_1,2017-10-29,1.0,0.438,14.0
bodensee_thal_schlachterj_1,2017-11-30,2.0,0.969,31.0
bodensee_thal_schlachterj_1,2017-12-29,3.0,0.625,20.0
chriesbach_duebendorf_schneidera,2017-04-04,1.0,1.686,86.0
chriesbach_duebendorf_schneidera,2017-05-11,2.0,1.529,78.0
chriesbach_duebendorf_schneidera,2017-06-13,3.0,0.451,23.0
chriesbach_duebendorf_schneidera,2017-07-11,4.0,1.157,59.0
chriesbach_duebendorf_schneidera,2017-08-16,5.0,0.255,13.0
chriesbach_duebendorf_schneidera,2017-09-19,6.0,0.137,7.0
chriesbach_duebendorf_schneidera,2017-10-05,7.0,0.314,16.0
chriesbach_duebendorf_schneidera,2017-11-15,8.0,0.392,20.0
chriesbach_duebendorf_schneidera,2017-12-06,9.0,0.373,19.0
chriesbach_duebendorf_schneidera,2018-01-08,10.0,1.51,77.0
chriesbach_duebendorf_schneidera,2018-02-05,11.0,1.941,99.0
emme_biberist_jennim,2017-04-28,1.0,0.533,8.0
emme_biberist_jennim,2017-05-19,2.0,0.667,10.0
