,Date,Location,medium,Samples,Sampling_Notes,Water_temp,Plating_notes,Temp_incubation,P1_qty_sample,P1_fluo_halo_colonies,Plate_one_48h_image,P1_48h_big_blue,P1_48h_med_blue,P1_48h_green,P1_48h_turq,P1_48h_pink,P1_48h_other,Comments_p1_48h,P2_qty_sample,P2_fluo_halo_colonies,Plate_two_48h_image,P2_48h_big_blue,P2_48h_med_blue,P2_48h_green,P2_48h_turq,P2_48h_pink,P2_48h_other,Comments_p2_48h,P3_qty_sample,P3_fluo_halo_colonies,Plate_three_48h_image,P3_48h_big_blue,P3_48h_med_blue,P3_48h_green,P3_48h_turq,P3_48h_pink,P3_48h_other,Comments_p3_48h
23,2017-07-10,VNX,easy_gel,3,No comments,24,We chose to plate only 1ml because the plates of the week before were very concentrated and hard to count,37,1.0,0,VNX1-15_28_15.JPG,0.0,5.0,0.0,0.0,17.0,8.0,No comments,1,0.0,VNX2-15_29_30.JPG,0.0,1.0,1.0,0.0,14.0,1.0,No comments,1.0,0.0,VNX3-15_31_24.JPG,0.0,12.0,0.0,0.0,4.0,25.0,No comments
24,2017-07-10,MRD,easy_gel,3,No comments,24,We chose to plate only 1ml because the plates of the week before were very concentrated and hard to count,37,1.0,3,MRD1-15_40_55.JPG,9.0,20.0,2.0,0.0,27.0,0.0,No comments,1,2.0,MRD2-15_42_36.JPG,6.0,16.0,1.0,0.0,38.0,0.0,No comments,1.0,2.0,MRD3-15_43_56.JPG,5.0,11.0,0.0,0.0,30.0,0.0,No comments
25,2017-07-10,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,7,Venoge-15_49_25.JPG,10.0,15.0,0.0,0.0,25.0,6.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
26,2017-07-10,SVT,easy_gel,3,No comments,24,We chose to plate only 1ml because the plates of the week before were very concentrated and hard to count,37,1.0,0,SVT1-15_15_3.JPG,0.0,0.0,0.0,0.0,1.0,0.0,No comments,1,0.0,SVT2-15_16_58.JPG,0.0,2.0,0.0,0.0,1.0,1.0,No comments,1.0,0.0,SVT3-15_18_21.JPG,0.0,1.0,0.0,0.0,1.0,2.0,No comments
27,2017-07-10,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4.0,0,Cminus-15_48_28.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
28,2017-07-17,SVT,micrology_card,1,No comments,24,No comments,37,1.0,0,SVT1-21_31_21.jpg,0.0,9.0,0.0,0.0,25.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
29,2017-07-17,VNX,micrology_card,1,No comments,24,No comments,37,1.0,0,VNX1-21_27_8.jpg,0.0,27.0,0.0,0.0,18.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
30,2017-07-17,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4.0,0,Tap-21_2_46.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
31,2017-07-17,MRD,micrology_card,1,No comments,25,No comments,37,1.0,0,MRD1-21_22_18.jpg,0.0,27.0,0.0,0.0,14.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
32,2017-07-17,VNX,easy_gel,3,No comments,24,No comments,37,4.0,0,VNX1-19_51_41.jpg,0.0,5.0,0.0,0.0,6.0,7.0,No comments,4,0.0,VNX2-19_54_55.jpg,0.0,2.0,0.0,0.0,1.0,14.0,No comments,4.0,0.0,VNX3-19_59_40.jpg,1.0,6.0,0.0,0.0,5.0,16.0,No comments
