location,date,length,quantity,density,code
Aare_bern_gerberm,2017-07-31,89,1,0.0112,G156
Aare_bern_gerberm,2017-07-31,89,2,0.0225,G171
Aare_bern_gerberm,2017-07-31,89,13,0.1461,G175
Aare_bern_gerberm,2017-07-31,89,3,0.0337,G177
Aare_bern_gerberm,2017-07-31,89,1,0.0112,G178
Aare_bern_gerberm,2017-07-31,89,1,0.0112,G179
Aare_bern_gerberm,2017-07-31,89,5,0.0562,G198
Aare_bern_gerberm,2017-07-31,89,1,0.0112,G203
Aare_bern_gerberm,2017-07-31,89,2,0.0225,G204
Aare_bern_gerberm,2017-07-31,89,2,0.0225,G208
Aare_bern_gerberm,2017-08-29,89,3,0.0337,G3
Aare_bern_gerberm,2017-08-29,89,3,0.0337,G4
Aare_bern_gerberm,2017-08-29,89,1,0.0112,G10
Aare_bern_gerberm,2017-08-29,89,2,0.0225,G27
Aare_bern_gerberm,2017-08-29,89,4,0.0449,G30
Aare_bern_gerberm,2017-08-29,89,1,0.0112,G32
Aare_bern_gerberm,2017-08-29,89,2,0.0225,G33
Aare_bern_gerberm,2017-08-29,89,2,0.0225,G35
Aare_bern_gerberm,2017-08-29,89,3,0.0337,G49
Aare_bern_gerberm,2017-08-29,89,2,0.0225,G50
Aare_bern_gerberm,2017-08-29,89,8,0.0899,G67
Aare_bern_gerberm,2017-08-29,89,5,0.0562,G79
Aare_bern_gerberm,2017-08-29,89,2,0.0225,G89
Aare_bern_gerberm,2017-08-29,89,1,0.0112,G93
Aare_bern_gerberm,2017-08-29,89,23,0.2584,G96
Aare_bern_gerberm,2017-08-29,89,3,0.0337,G101
Aare_bern_gerberm,2017-08-29,89,8,0.0899,G124
Aare_bern_gerberm,2017-08-29,89,1,0.0112,G125
Aare_bern_gerberm,2017-08-29,89,3,0.0337,G134
Aare_bern_gerberm,2017-08-29,89,2,0.0225,G137
Aare_bern_gerberm,2017-08-29,89,2,0.0225,G138
Aare_bern_gerberm,2017-08-29,89,1,0.0112,G142
Aare_bern_gerberm,2017-08-29,89,4,0.0449,G144
Aare_bern_gerberm,2017-08-29,89,45,0.5056,G145
Aare_bern_gerberm,2017-08-29,89,6,0.0674,G158
Aare_bern_gerberm,2017-08-29,89,1,0.0112,G171
Aare_bern_gerberm,2017-08-29,89,10,0.1124,G175
Aare_bern_gerberm,2017-08-29,89,1,0.0112,G176
Aare_bern_gerberm,2017-08-29,89,2,0.0225,G177
Aare_bern_gerberm,2017-08-29,89,1,0.0112,G178
Aare_bern_gerberm,2017-08-29,89,1,0.0112,G182
Aare_bern_gerberm,2017-08-29,89,3,0.0337,G191
Aare_bern_gerberm,2017-08-29,89,1,0.0112,G194
Aare_bern_gerberm,2017-08-29,89,5,0.0562,G198
Aare_bern_gerberm,2017-08-29,89,3,0.0337,G199
Aare_bern_gerberm,2017-08-29,89,1,0.0112,G204
Aare_bern_gerberm,2017-08-29,89,9,0.1011,G208
Aare_bern_gerberm,2017-09-26,89,3,0.0337,G3
Aare_bern_gerberm,2017-09-26,89,5,0.0562,G4
Aare_bern_gerberm,2017-09-26,89,8,0.0899,G27
Aare_bern_gerberm,2017-09-26,89,4,0.0449,G30
Aare_bern_gerberm,2017-09-26,89,1,0.0112,G34
Aare_bern_gerberm,2017-09-26,89,5,0.0562,G50
Aare_bern_gerberm,2017-09-26,89,1,0.0112,G59
Aare_bern_gerberm,2017-09-26,89,4,0.0449,G67
Aare_bern_gerberm,2017-09-26,89,1,0.0112,G71
Aare_bern_gerberm,2017-09-26,89,10,0.1124,G79
Aare_bern_gerberm,2017-09-26,89,5,0.0562,G80
Aare_bern_gerberm,2017-09-26,89,2,0.0225,G89
Aare_bern_gerberm,2017-09-26,89,5,0.0562,G93
Aare_bern_gerberm,2017-09-26,89,10,0.1124,G96
Aare_bern_gerberm,2017-09-26,89,1,0.0112,G101
Aare_bern_gerberm,2017-09-26,89,1,0.0112,G134
Aare_bern_gerberm,2017-09-26,89,5,0.0562,G137
Aare_bern_gerberm,2017-09-26,89,3,0.0337,G142
Aare_bern_gerberm,2017-09-26,89,11,0.1236,G144
Aare_bern_gerberm,2017-09-26,89,80,0.8989,G145
Aare_bern_gerberm,2017-09-26,89,2,0.0225,G154
Aare_bern_gerberm,2017-09-26,89,9,0.1011,G175
Aare_bern_gerberm,2017-09-26,89,2,0.0225,G176
Aare_bern_gerberm,2017-09-26,89,2,0.0225,G178
Aare_bern_gerberm,2017-09-26,89,1,0.0112,G191
Aare_bern_gerberm,2017-09-26,89,4,0.0449,G194
Aare_bern_gerberm,2017-09-26,89,5,0.0562,G198
Aare_bern_gerberm,2017-09-26,89,17,0.191,G208
Aare_bern_gerberm,2017-10-31,89,2,0.0225,G3
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G4
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G7
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G10
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G21
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G24
Aare_bern_gerberm,2017-10-31,89,5,0.0562,G27
Aare_bern_gerberm,2017-10-31,89,4,0.0449,G30
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G59
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G66
Aare_bern_gerberm,2017-10-31,89,2,0.0225,G67
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G79
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G93
Aare_bern_gerberm,2017-10-31,89,11,0.1236,G96
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G124
Aare_bern_gerberm,2017-10-31,89,2,0.0225,G142
Aare_bern_gerberm,2017-10-31,89,4,0.0449,G144
Aare_bern_gerberm,2017-10-31,89,47,0.5281,G145
Aare_bern_gerberm,2017-10-31,89,2,0.0225,G154
Aare_bern_gerberm,2017-10-31,89,2,0.0225,G156
Aare_bern_gerberm,2017-10-31,89,2,0.0225,G158
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G175
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G177
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G182
Aare_bern_gerberm,2017-10-31,89,1,0.0112,G194
Aare_bern_gerberm,2017-10-31,89,4,0.0449,G199
Aare_bern_gerberm,2017-10-31,89,2,0.0225,G204
Aare_bern_gerberm,2017-10-31,89,5,0.0562,G208
Aare_bern_gerberm,2017-11-17,89,1,0.0112,G3
Aare_bern_gerberm,2017-11-17,89,4,0.0449,G27
Aare_bern_gerberm,2017-11-17,89,2,0.0225,G30
Aare_bern_gerberm,2017-11-17,89,2,0.0225,G50
