location,date,sample,density,quantity
Bielersee_Vinelz_FankhauserS,2018-03-31,11,3.029,106
Birs_basel_läderachs,2017-04-29,1,1.429,40
Birs_basel_läderachs,2017-05-28,2,3.679,103
Birs_basel_läderachs,2017-06-30,3,2.393,67
Birs_basel_läderachs,2017-07-31,4,3.321,93
Birs_basel_läderachs,2017-09-30,5,2.25,63
Birs_basel_läderachs,2017-12-30,6,0.714,20
Birs_basel_läderachs,2018-02-28,7,0.5,14
Birs_basel_läderachs,2018-03-24,8,1.107,31
Birs_Reinach_DiNucciN,2017-04-18,1,4.944,178
Birs_Reinach_DiNucciN,2017-05-29,2,3.833,138
Birs_Reinach_DiNucciN,2017-08-25,3,1.833,66
Birs_Reinach_DiNucciN,2017-09-30,4,0.0,0
Birs_Reinach_DiNucciN,2017-10-30,5,0.0,0
Birs_Reinach_DiNucciN,2017-11-30,6,0.0,0
Birs_Reinach_DiNucciN,2017-12-27,7,2.111,76
Birs_Reinach_DiNucciN,2018-01-31,8,1.972,71
Birs_Reinach_DiNucciN,2018-03-29,9,0.583,21
Birsköpfli Rusco,2017-04-22,1,7.44,372
Birsköpfli Rusco,2017-05-21,2,6.0,300
Birsköpfli Rusco,2017-06-26,3,16.06,803
Birsköpfli Rusco,2017-07-25,4,6.62,331
Birsköpfli Rusco,2017-08-29,5,10.16,508
Birsköpfli Rusco,2017-10-03,6,1.14,57
Birsköpfli Rusco,2017-11-05,7,0.66,33
Birsköpfli Rusco,2017-12-03,8,1.12,56
Birsköpfli Rusco,2018-01-06,9,0.0,0
Birsköpfli Rusco,2018-02-11,10,3.56,178
Birsköpfli Rusco,2018-03-08,11,1.98,99
Bodensee_Arbon_MösliS,2017-04-05,1,1.567,47
Bodensee_Arbon_MösliS,2017-05-09,2,0.7,21
Bodensee_Arbon_MösliS,2017-06-23,3,1.067,32
Bodensee_Arbon_MösliS,2017-08-29,4,0.667,20
Bodensee_Arbon_MösliS,2017-09-27,5,0.933,28
Bodensee_Arbon_MösliS,2017-10-04,6,0.5,15
Bodensee_Arbon_MösliS,2017-11-15,7,1.133,34
Bodensee_Arbon_MösliS,2017-12-27,8,0.567,17
