location,date,sample,density2,quantity
Aare_bern_gerberm,2017-04-14,1,0.642,154
Aare_bern_gerberm,2017-05-21,2,0.111,20
Aare_bern_gerberm,2017-06-26,3,0.789,71
Aare_bern_gerberm,2017-07-31,4,0.339,112
Aare_bern_gerberm,2017-08-29,5,0.486,175
Aare_bern_gerberm,2017-09-26,6,0.46,207
Aare_bern_gerberm,2017-10-31,7,0.27,108
Aare_bern_gerberm,2017-11-17,8,0.147,66
Aare_bern_gerberm,2017-12-26,9,0.213,96
Aare_bern_gerberm,2018-01-27,10,0.693,187
Aare_bern_gerberm,2018-03-31,11,0.282,127
aare_bern_scheurerk,2017-04-02,1,0.1,2
aare_bern_scheurerk,2017-05-21,2,0.0,0
aare_bern_scheurerk,2017-07-09,3,1.6,80
aare_bern_scheurerk,2017-09-15,4,0.012,26
aare_bern_scheurerk,2017-10-21,5,0.006,13
aare_bern_scheurerk,2017-11-16,6,0.017,35
