"Neuenburgersee_Cudrefin_MatterA",46.96270890,7.02596810,"Cudrefin","1588","l","SLR","Neuenburgersee"
"Ognonnaz-1",46.45994130,6.85913410,"Vevey","1800","r","SLR","Ognonnaz"
"Pfaffner_Rothrist_Ischik",47.29856780,7.89946640,"Rothrist","4852","r","SLR","Pfaffnern"
"Reuss",47.32986910,8.35684930,"Bremgarten","5626","r","SLR","Reuss"
"reuss_hünenberg_eberhardy",47.23297550,8.40101210,"Hünenberg","6331","r","SLR","Reuss"
"reuss_ottenbach_schoenenbergerl",47.27835450,8.39422420,"Merenschwand","5634","r","SLR","Reuss"
"Reuss_St.Karli_LinigerS/ImhofY",47.05711180,8.28791450,"Luzern","6004","r","SLR","Reuss"
"Rhein_Basel",47.55680180,7.60108560,"Basel","4058","r","SLR","Rhein"
"Rhein_Basel_BlarerP_1",47.58940620,7.58731810,"Huningue","68330","r","SLR","Rhein"
"Rhein_Basel_BlarerP_2",47.59115100,7.58794850,"Huningue","68330","r","SLR","Rhein"
"Rhein_Basel_HungerbuehlerN",47.55821760,7.61034880,"Basel","4058","r","SLR","Rhein"
"Rhein_Beach near Tinguely Museum_Bolger. O_Sigrist F.",47.55864390,7.61215360,"Basel","4058","r","SLR","Rhein"
"rhein_domatems_foppa_f",46.83803750,9.44763870,"Domat/Ems","7013","r","SLR","Rhein"
"rhein_eglisau_gomringerp",47.57331590,8.53458470,"Eglisau","8193","r","SLR","Rhein"
"Rhein_Hemishofen_StollL",47.67552360,8.82802920,"Hemishofen","8261","r","SLR","Rhein"
"rhein_laag_jungbluthn",47.69152540,8.71721040,"Büsingen am Hochrhein","78266","r","SLR","Rhein"
"schiffenensee_duedingen_hirschij",46.85915140,7.17643740,"Düdingen","3186","l","SLR","Schiffenensee"
"sempachersee_sempach_tampec",47.12861810,8.19187370,"Sempach","6204","l","SLR","Sempachsee"
"Sense_Törishaus_g-cubes",46.88312060,7.35318890,"Köniz","3174","r","SLR","Sense"
